sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
home,54,4471,4343,8201,231,9037,0.0,0.18464252864523675,2.2423702458823005
login,50,17963,17040,25780,6948,31118,0.0,0.16811582507884631,13.659883613414298
search forums,32,3966,3529,8544,116,9076,0.0,0.11419558134472434,1.473669443046738
view topic,31,4142,4386,8033,240,8657,0.1935483870967742,0.11190850937865507,1.8285358294496268
choose forum,18,4041,3416,7013,875,8070,0.0,0.0661101174189141,0.7324586387100447
choose topic,18,4196,4033,7011,112,8536,0.0,0.06586072651699207,1.279867725133917
logout,30,14405,13843,18879,2821,23500,0.0,0.11231622258080216,8.379967477433798
post reply & logout,15,57124,56766,62792,49423,66104,0.0,0.05621240795218198,5.975298452753471
TOTAL,248,11420,6500,23305,112,66104,0.024193548387096774,0.8286111408104352,33.478334627342164
1370242193560,5253,home,200,"Number of samples in transaction : 1, number of failing samples : 0",scenario1 1-1,,true,13601,0
1370242193571,5241,home,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario2 2-1,,true,13601,0
1370242197573,6001,home,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario2 2-2,,true,13601,0
1370242201572,2280,home,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario2 2-3,,true,13601,0
1370242201573,3020,home,200,"Number of samples in transaction : 1, number of failing samples : 0",scenario1 1-3,,true,13601,0
1370242197572,8794,home,200,"Number of samples in transaction : 1, number of failing samples : 0",scenario1 1-2,,true,13601,0
1370242205573,6739,home,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario2 2-4,,true,13891,0
1370242206369,7020,login,200,"Number of samples in transaction : 4, number of failing samples : 0",scenario1 1-2,,true,83061,0
1370242205572,8473,home,200,"Number of samples in transaction : 1, number of failing samples : 0",scenario1 1-4,,true,13891,0
1370242198880,16824,login,200,"Number of samples in transaction : 4, number of failing samples : 0",scenario1 1-1,,true,83061,0
1370242209572,8586,home,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario2 2-5,,true,13994,0
1370242209573,8919,home,200,"Number of samples in transaction : 1, number of failing samples : 0",scenario1 1-5,,true,13994,0
1370242215707,3508,search forums,200,"Number of samples in transaction : 1, number of failing samples : 0",scenario1 1-1,,true,19704,0
1370242213391,5849,search forums,200,"Number of samples in transaction : 1, number of failing samples : 0",scenario1 1-2,,true,5200,0
1370242198880,21001,login,200,"Number of samples in transaction : 4, number of failing samples : 0",Scenario2 2-1,,true,83123,0
1370242219884,1889,choose forum,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario2 2-1,,true,10545,0
1370242219243,2863,view topic,,"Number of samples in transaction : 1, number of failing samples : 1",scenario1 1-2,,false,1052,0
1370242219219,5869,view topic,200,"Number of samples in transaction : 1, number of failing samples : 0",scenario1 1-1,,true,20494,0
1370242212316,16173,login,200,"Number of samples in transaction : 4, number of failing samples : 0",Scenario2 2-4,,true,83247,0
1370242221776,6746,choose topic,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario2 2-1,,true,25028,0
1370242203856,24672,login,200,"Number of samples in transaction : 4, number of failing samples : 0",Scenario2 2-3,,true,83251,0
1370242204597,24815,login,200,"Number of samples in transaction : 4, number of failing samples : 0",scenario1 1-3,,true,83250,0
1370242229416,501,search forums,200,"Number of samples in transaction : 1, number of failing samples : 0",scenario1 1-3,,true,16413,0
1370242214048,16694,login,200,"Number of samples in transaction : 4, number of failing samples : 0",scenario1 1-4,,true,83248,0
1370242230745,1035,search forums,200,"Number of samples in transaction : 1, number of failing samples : 0",scenario1 1-4,,true,19704,0
1370242203577,30096,login,200,"Number of samples in transaction : 4, number of failing samples : 0",Scenario2 2-2,,true,83251,0
1370242218495,15384,login,200,"Number of samples in transaction : 4, number of failing samples : 0",scenario1 1-5,,true,83249,0
1370242229922,4353,view topic,200,"Number of samples in transaction : 1, number of failing samples : 0",scenario1 1-3,,true,20504,0
1370242222109,12588,logout,200,"Number of samples in transaction : 3, number of failing samples : 0",scenario1 1-2,,true,76490,0
1370242228531,6670,choose forum,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario2 2-3,,true,11916,0
1370242233676,2247,choose forum,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario2 2-2,,true,10820,0
1370242228492,8793,choose forum,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario2 2-4,,true,11983,0
1370242231786,6597,view topic,200,"Number of samples in transaction : 1, number of failing samples : 0",scenario1 1-4,,true,20619,0
1370242225091,15113,logout,200,"Number of samples in transaction : 3, number of failing samples : 0",scenario1 1-1,,true,76490,0
1370242237288,3461,choose topic,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario2 2-4,,true,17173,0
1370242218162,22812,login,200,"Number of samples in transaction : 4, number of failing samples : 0",Scenario2 2-5,,true,83247,0
1370242235205,5917,choose topic,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario2 2-3,,true,20491,0
1370242235927,5685,choose topic,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario2 2-2,,true,25295,0
1370242234700,7586,home,200,"Number of samples in transaction : 1, number of failing samples : 0",scenario1 1-2,,true,12174,0
1370242233882,8508,search forums,200,"Number of samples in transaction : 1, number of failing samples : 0",scenario1 1-5,,true,18112,0
1370242240978,4990,choose forum,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario2 2-5,,true,11818,0
1370242240208,6357,home,200,"Number of samples in transaction : 1, number of failing samples : 0",scenario1 1-1,,true,12050,0
1370242245972,1281,choose topic,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario2 2-5,,true,14092,0
1370242242394,9053,view topic,200,"Number of samples in transaction : 1, number of failing samples : 0",scenario1 1-5,,true,25568,0
1370242238387,14348,logout,200,"Number of samples in transaction : 3, number of failing samples : 0",scenario1 1-4,,true,76366,0
1370242234278,20248,logout,200,"Number of samples in transaction : 3, number of failing samples : 0",scenario1 1-3,,true,76366,0
1370242228527,27051,post reply ,200,"Number of samples in transaction : 2, number of failing samples : 0",Scenario2 2-1,,true,33466,0
1370242257243,95,/pegforums/PEGForums/ucp.php,200,OK,Scenario2 2-1,text,true,6374,91
1370242252739,5394,home,200,"Number of samples in transaction : 1, number of failing samples : 0",scenario1 1-4,,true,12049,0
1370242254530,5627,home,200,"Number of samples in transaction : 1, number of failing samples : 0",scenario1 1-3,,true,12049,0
1370242240753,19809,post reply ,200,"Number of samples in transaction : 2, number of failing samples : 0",Scenario2 2-4,,true,28999,0
1370242262072,43,/pegforums/PEGForums/style.php,200,OK,Scenario2 2-1,text,true,57915,40
